frame,can_iface,motor_id,position_rad,elapsed_ms,speed_rad_s,accel_rad_s2
33,can2,3,0.000000,659,1.600,0.500
33,can2,4,0.000000,659,1.600,0.500
33,can2,5,0.000000,659,1.600,0.500
33,can2,6,0.000000,659,1.600,0.500
33,can3,13,0.002628,659,1.600,0.500
33,can3,14,-0.000554,659,1.600,0.500
33,can3,15,0.000078,659,1.600,0.500
33,can3,16,0.001544,659,1.600,0.500
34,can2,3,0.000000,679,1.600,0.500
34,can2,4,0.000000,679,1.600,0.500
34,can2,5,0.000000,679,1.600,0.500
34,can2,6,0.000000,679,1.600,0.500
34,can3,13,0.002708,679,1.600,0.500
34,can3,14,-0.000571,679,1.600,0.500
34,can3,15,0.000080,679,1.600,0.500
34,can3,16,0.001590,679,1.600,0.500
35,can2,3,0.000000,699,1.600,0.500
35,can2,4,0.000000,699,1.600,0.500
35,can2,5,0.000000,699,1.600,0.500
35,can2,6,0.000000,699,1.600,0.500
35,can3,13,0.002788,699,1.600,0.500
35,can3,14,-0.000588,699,1.600,0.500
35,can3,15,0.000082,699,1.600,0.500
35,can3,16,0.001637,699,1.600,0.500
36,can2,3,0.000000,719,1.600,0.500
36,can2,4,0.000000,719,1.600,0.500
36,can2,5,0.000000,719,1.600,0.500
36,can2,6,0.000000,719,1.600,0.500
36,can3,13,0.002867,719,1.600,0.500
36,can3,14,-0.000605,719,1.600,0.500
36,can3,15,0.000085,719,1.600,0.500
36,can3,16,0.001684,719,1.600,0.500
37,can2,3,0.000000,738,1.600,0.500
37,can2,4,0.000000,738,1.600,0.500
37,can2,5,0.000000,738,1.600,0.500
37,can2,6,0.000000,738,1.600,0.500
37,can3,13,0.002947,738,1.600,0.500
37,can3,14,-0.000621,738,1.600,0.500
37,can3,15,0.000087,738,1.600,0.500
37,can3,16,0.001731,738,1.600,0.500
38,can2,3,0.000000,758,1.600,0.500
38,can2,4,0.000000,758,1.600,0.500
38,can2,5,0.000000,758,1.600,0.500
38,can2,6,0.000000,758,1.600,0.500
38,can3,13,0.003027,758,1.600,0.500
38,can3,14,-0.000638,758,1.600,0.500
38,can3,15,0.000089,758,1.600,0.500
38,can3,16,0.001778,758,1.600,0.500
39,can2,3,0.000000,778,1.600,0.500
39,can2,4,0.000000,778,1.600,0.500
39,can2,5,0.000000,778,1.600,0.500
39,can2,6,0.000000,778,1.600,0.500
39,can3,13,0.003106,778,1.600,0.500
39,can3,14,-0.000655,778,1.600,0.500
39,can3,15,0.000092,778,1.600,0.500
39,can3,16,0.001824,778,1.600,0.500
40,can2,3,0.000000,798,1.600,0.500
40,can2,4,0.000000,798,1.600,0.500
40,can2,5,0.000000,798,1.600,0.500
40,can2,6,0.000000,798,1.600,0.500
40,can3,13,0.003186,798,1.600,0.500
40,can3,14,-0.000672,798,1.600,0.500
40,can3,15,0.000094,798,1.600,0.500
40,can3,16,0.001871,798,1.600,0.500
41,can2,3,0.000000,818,1.600,0.500
41,can2,4,0.000000,818,1.600,0.500
41,can2,5,0.000000,818,1.600,0.500
41,can2,6,0.000000,818,1.600,0.500
41,can3,13,0.003265,818,1.600,0.500
41,can3,14,-0.000689,818,1.600,0.500
41,can3,15,0.000096,818,1.600,0.500
41,can3,16,0.001918,818,1.600,0.500
42,can2,3,0.000000,838,1.600,0.500
42,can2,4,0.000000,838,1.600,0.500
42,can2,5,0.000000,838,1.600,0.500
42,can2,6,0.000000,838,1.600,0.500
42,can3,13,0.003345,838,1.600,0.500
42,can3,14,-0.000705,838,1.600,0.500
42,can3,15,0.000099,838,1.600,0.500
42,can3,16,0.001965,838,1.600,0.500
43,can2,3,0.000000,858,1.600,0.500
43,can2,4,0.000000,858,1.600,0.500
43,can2,5,0.000000,858,1.600,0.500
43,can2,6,0.000000,858,1.600,0.500
43,can3,13,0.003425,858,1.600,0.500
43,can3,14,-0.000722,858,1.600,0.500
43,can3,15,0.000101,858,1.600,0.500
43,can3,16,0.002011,858,1.600,0.500
44,can2,3,0.000000,878,1.600,0.500
44,can2,4,0.000000,878,1.600,0.500
44,can2,5,0.000000,878,1.600,0.500
44,can2,6,0.000000,878,1.600,0.500
44,can3,13,0.003504,878,1.600,0.500
44,can3,14,-0.000739,878,1.600,0.500
44,can3,15,0.000103,878,1.600,0.500
44,can3,16,0.002058,878,1.600,0.500
